"STATISTIC","Statistic Label","TLIST(A1)","Year","C04064V04826","Semester","C04065V04827","Fuel Sector","C04063V04825","Pricing Bases","C04062V04824","Electricity consumption bands","UNIT","VALUE"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1498"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.1126"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0976"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0894"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","10","January - June","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.16"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1377"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1115"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.0926"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0796"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0746"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.1961"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1538"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1245"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.1019"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0857"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.078"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.2232"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1753"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1404"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.1129"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0948"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0866"
"TMEGB04","Non-Residential Electricity Prices","2016","2016","20","July - December","40","Non-Residential Electricity","65","Non-residential electricity prices including all taxes and levies","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.1563"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1343"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1095"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","50","Non-household electricity consumption 2,000 MWh < 20,000 MWh - band ID","€ per kWh","0.0915"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","55","Non-household electricity consumption 20,000 MWh < 70,000 MWh - band IE","€ per kWh","0.0788"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","60","Non-household electricity consumption 70,000 MWh < 150,000 MWh - band IF","€ per kWh","0.0712"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","55","Non-residential electricity prices excluding all taxes, fees, levies, and charges","65","Non-household electricity consumption  150,000 MWh or more - band IG","€ per kWh",""
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","35","Non-household electricity consumption less than 20 MWh - band IA","€ per kWh","0.1903"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","40","Non-household electricity consumption 20 MWh < 500 MWh - band IB","€ per kWh","0.1503"
"TMEGB04","Non-Residential Electricity Prices","2017","2017","10","January - June","40","Non-Residential Electricity","60","Non-residential electricity prices excluding value added tax (VAT) and other recoverable taxes and levies","45","Non-household electricity consumption 500 MWh < 2,000 MWh - band IC","€ per kWh","0.1237"
